model,threshold,precision,recall,f1,specificity,fpr,accuracy,tn,fp,fn,tp
M3_Calibrated,0.93,0.994,0.66,0.7933,0.96,0.04,0.6873,144,6,510,990
M3_Calibrated,0.94,0.994,0.6593,0.7928,0.96,0.04,0.6867,144,6,511,989
M3_Calibrated,0.95,0.995,0.658,0.7921,0.9667,0.0333,0.6861,145,5,513,987
M3_Calibrated,0.96,0.995,0.658,0.7921,0.9667,0.0333,0.6861,145,5,513,987
M3_Calibrated,0.97,0.9959,0.6553,0.7905,0.9733,0.0267,0.6842,146,4,517,983
M3_Calibrated,0.98,0.9969,0.6513,0.7879,0.98,0.02,0.6812,147,3,523,977
M3_Calibrated,0.99,0.9969,0.6433,0.782,0.98,0.02,0.6739,147,3,535,965
Semantics_Naive_Average,0.01,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.02,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.03,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.04,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.05,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.06,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.07,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.08,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.09,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.1,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.11,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.12,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.13,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.14,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
